Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
12.07.2026, 00:08:15;Brahmaparuss;Doswiadczenie;218.455.885 / 218.467.110;218.459.510 / 218.467.110;3625
12.07.2026, 00:08:15;Brahmaparuss;Walki;97.299;97.300;1
12.07.2026, 00:08:16;Gawron;Walki;57.402;57.403;1
12.07.2026, 00:08:17;lux;Doswiadczenie;122.588.759 / 122.616.470;122.590.108 / 122.616.470;1349
12.07.2026, 00:08:17;lux;Walki;106.585;106.586;1
12.07.2026, 00:08:19;XTurek;Doswiadczenie;451.682.028 / 451.734.630;451.786.665 / 451.829.685;104637
12.07.2026, 00:08:19;XTurek;Zrabowane dobra;863.991.752.170 mięsa;864.085.526.386 mięsa;93774216
12.07.2026, 01:07:32;lux;Doswiadczenie;122.590.108 / 122.616.470;122.631.537 / 122.665.995;41429
12.07.2026, 01:07:32;lux;Zrabowane dobra;187.180.751.007 krwi;187.223.216.515 krwi;42465508
12.07.2026, 01:07:35;PEON;Doswiadczenie;147.987.608 / 148.027.845;147.989.840 / 148.027.845;2232
